image_index,object_count,total_area
1206,88,33383
1207,123,42535
1208,107,39261
1209,85,33828
1210,94,37451
1211,82,33363
1212,108,37150
1213,131,39761
1214,95,32356
1215,145,43326
1216,73,24217
1217,83,24666
1218,75,23680
1219,59,19438
1220,92,27235
1221,85,32347
1222,94,35234
1223,96,33822
1224,21,8683
1225,35,12960
1226,71,30289
1227,52,21339
1228,93,33025
1229,95,34164
1230,91,33668
1231,106,36702
1232,71,20321
1233,18,5984
1234,79,23792
1235,97,32037
1236,93,30405
1237,88,34641
1238,92,30729
1239,96,32829
1240,108,35075
1241,108,33090
1242,97,33665
1243,85,32853
1244,85,31074
1245,83,34521
1246,80,27537
1247,76,26714
1248,84,30611
1249,79,35179
1250,83,32708
1251,119,39966
1252,116,38061
1253,118,37212
1254,119,40283
1255,76,30876
1256,95,34905
1257,95,35551
1258,78,24943
1259,95,33339
1260,84,31448
1261,70,28530
1262,83,30800
1263,70,36609
1264,7,2531
1265,44,14362
1266,68,24481
1267,86,36670
1268,102,32612
1269,103,34190
1270,90,29395
1271,99,35900
1272,68,25579
1273,86,31951
1274,64,21735
1275,77,30900
1276,84,32609
1277,85,32040
1278,110,38075
1279,121,34358
1280,95,32739
1281,116,25739
1282,87,23195
1283,88,32498
1284,89,32246
1285,102,38940
1286,93,34753
1287,128,39464
1288,106,32891
1289,124,38913
1290,94,35885
1291,46,21921
1292,31,14085
1293,19,9621
1294,41,16320
1295,44,14315
1296,68,25604
1297,78,31255
1298,60,27623
1299,84,29060
1300,91,30336
1301,99,34885
1302,86,28899
1303,98,36591
1304,110,37941
1305,82,33010
1306,110,38005
1307,240,57838
1308,196,47544
1309,212,58454
1310,121,30791
